交易所简码,股票代码,实际控制人,实际控制人控股比例
SH,600221,方威,0.23
SH,600222,郑州高新技术产业开发区管委会,
SH,600223,山东省人民政府国有资产监督管理委员会,
SH,600225,天津市人民政府国有资产监督管理委员会,
SH,600226,"崔根良,崔巍",0.04
SH,600227,丁林洪,
SH,600228,葛永昌,
SH,600229,青岛市财政局,
SH,600230,国务院国有资产监督管理委员会,
SH,600231,朝阳市国有资产监督管理委员会,
SH,600232,傅国定,
SH,600233,"喻会蛟,张小娟",5.08
SH,600234,黄绍嘉,
SH,600235,嘉兴市人民政府国有资产监督管理委员会,
SH,600236,国务院国有资产监督管理委员会,
SH,600237,铜陵市人民政府国有资产监督管理委员会,
SH,600238,冯彪,
SH,600239,云南省人民政府国有资产监督管理委员会,
SH,600241,辽宁省人民政府国有资产监督管理委员会,
SH,600242,陈建铭,
SH,600243,王封,
SH,600246,王忆会,
SH,600248,陕西省人民政府国有资产监督管理委员会,
SH,600249,柳州市人民政府国有资产监督管理委员会,
SH,600250,南京市人民政府国有资产监督管理委员会,
SH,600251,新疆生产建设兵团第二师,
SH,600252,广西壮族自治区人民政府国有资产监督管理委员会,
SH,600255,三台县国有资产监督管理办公室,
SH,600256,孙广信,
SH,600257,罗祖亮,
SH,600258,北京市人民政府国有资产监督管理委员会,
SH,600259,广东省人民政府国有资产监督管理委员会,
SH,600261,"陈森洁及其配偶,女儿",
SH,600262,中国兵器工业集团有限公司,
SH,600265,郑家纯,
SH,600266,北京市国有资产监督管理委员会,
SH,600267,台州市椒江区国有资本运营集团有限公司,5.08
SH,600268,国务院国有资产监督管理委员会,
SH,600269,江西省交通运输厅,
SH,600271,国务院国有资产监督管理委员会,
SH,600272,上海市静安区国有资产监督管理委员会,
SH,600273,管建忠,1.44
SH,600276,孙飘扬,
SH,600277,王文彪,
SH,600278,东方国际(集团)有限公司,48.34
SH,600279,重庆两江新区管理委员会,
SH,600280,祝义财,42.25
SH,600281,山西省人民政府国有资产监督管理委员会,
SH,600282,郭广昌,
SH,600283,水利部综合事业局,
SH,600284,上海市浦东新区国有资产监督管理委员会,
SH,600285,熊伟,
SH,600287,江苏省人民政府国有资产监督管理委员会,
SH,600288,郑素贞,29.75
SH,600289,王文锋,
SH,600290,杨一理,
SH,600292,,
SH,600293,许锡忠,4.43
SH,600295,内蒙古鄂尔多斯投资控股集团有限公司,
SH,600297,孙广信,
SH,600298,宜昌市国有资产管理委员会,
SH,600299,国务院国有资产监督管理委员会,
SH,600300,徐州市人民政府国有资产监督管理委员会,
SH,600301,广西壮族自治区人民政府国有资产监督管理委员会,
SH,600302,西安市人民政府国有资产监督管理委员会,
SH,600303,张秀根,
SH,600305,镇江市人民政府国有资产监督管理委员会,
SH,600306,王强,5.87
SH,600307,甘肃省人民政府国有资产监督管理委员会,
SH,600308,李建华,
SH,600309,烟台市人民政府国有资产监督管理委员会,
SH,600310,广西壮族自治区人民政府国有资产监督管理委员会,
SH,600312,国务院国有资产监督管理委员会,
SH,600313,中国农业发展集团有限公司,12.07
SH,600315,,
SH,600316,中国航空工业集团有限公司,
SH,600318,安徽省供销合作社联合社,
SH,600319,潍坊市国有资产监督管理委员会,
SH,600320,,
SH,600321,富彦斌,
SH,600322,天津市人民政府国有资产监督管理委员会,
SH,600323,佛山市南海区国有资产监督管理局,
SH,600325,珠海市人民政府国有资产监督管理委员会,
SH,600326,西藏自治区人民政府国有资产监督管理委员会,
SH,600327,王均金,
SH,600328,中国盐业集团有限公司,
SH,600329,,
SH,600330,潘建清,4.65
SH,600331,刘沧龙,
SH,600332,广州市人民政府,
SH,600333,长春市人民政府国有资产监督管理委员会,
SH,600335,国务院国有资产监督管理委员会,
SH,600336,青岛市人民政府国有资产监督管理委员会,
SH,600337,冯东明,
SH,600338,"黄建荣,黄瑛",
SH,600339,中国石油天然气集团有限公司,54.29
SH,600340,王文学,
SH,600343,中国航天科技集团有限公司,
SH,600345,国务院国有资产监督管理委员会,
SH,600346,"陈建华,范红卫",11.24
SH,600348,山西省人民政府国有资产监督管理委员会,
SH,600350,山东省国有资产监督管理委员会,
SH,600351,任武贤,0.26
SH,600352,"阮水龙,阮伟祥",22.63
SH,600353,张建和,
SH,600354,酒泉市人民政府国有资产监督管理委员会,
SH,600355,张学阳,12.19
SH,600356,黑龙江省人民政府国有资产监督管理委员会,
SH,600358,江西省国有资产监督管理委员会,
SH,600359,新疆生产建设兵团第一师国有资产监督管理委员会,
SH,600360,曾涛,
SH,600361,崔立新,17.59
SH,600362,江西省国有资产监督管理委员会,
SH,600363,伍锐,
SH,600365,"陈晓琦,吴玉华",0.94
SH,600366,竺韵德,0.48
SH,600367,青岛市人民政府国有资产监督管理委员会,
SH,600368,广西壮族自治区人民政府国有资产监督管理委员会,
SH,600369,重庆市国有资产监督管理委员会,
SH,600370,卞兴才,
SH,600371,鲁伟鼎,
SH,600372,中国航空工业集团有限公司,4.1
SH,600373,江西省人民政府,
SH,600375,李书福,
SH,600376,北京市人民政府国有资产监督管理委员会,
SH,600377,江苏省国有资产监督管理委员会,
SH,600378,国务院国有资产监督管理委员会,
SH,600379,国务院国有资产监督管理委员会,
SH,600380,朱保国,
SH,600381,肖融,9.67
SH,600382,"张坚力,张伟标",
SH,600383,,
SH,600386,北京市国有资产监督管理委员会,
SH,600387,铜川市人民政府国有资产监督管理委员会,
SH,600388,上杭县财政局,
SH,600389,,
SH,600390,中国五矿集团有限公司,
SH,600391,中国航空发动机集团有限公司,
SH,600392,中华人民共和国财政部,
SH,600393,杨树坪,
SH,600395,贵州省人民政府国有资产监督管理委员会,
SH,600396,中国华电集团有限公司,20.92
SH,600397,江西省国有资产监督管理委员会,
SH,600398,周建平,0.2
SH,600399,沈文荣,
SH,600400,"顾萃,周耀庭,周海燕,周海江,刘连红",
SH,600403,河南省人民政府国有资产监督管理委员会,
SH,600405,何振亚,11.23
SH,600406,国务院国有资产监督管理委员会,
SH,600408,李安民,31.57
SH,600409,,
SH,600410,,
SH,600415,义乌市人民政府国有资产监督管理办公室,
SH,600416,湖南省人民政府国有资产监督管理委员会,
SH,600418,安徽省国有资产监督委员会,
SH,600419,新疆生产建设兵团第十二师国有资产监督管理委员会,
SH,600420,国务院国有资产监督管理委员会,
SH,600421,楼永良,
SH,600422,中国华润有限公司,
SH,600423,柳州市国有资产监督管理委员会,
SH,600425,新疆生产建设兵团第一师国有资产监督管理委员会,
SH,600426,华鲁控股集团有限公司,
SH,600428,国务院国有资产监督管理委员会,
SH,600429,北京首农食品集团有限公司,35.28
SH,600433,中国诚通控股集团有限公司,
SH,600435,中国兵器工业集团有限公司,
SH,600436,漳州市人民政府国有资产监督管理委员会,
SH,600438,刘汉元,
SH,600439,郑有全,
SH,600444,国务院国有资产监督管理委员会,
SH,600446,,
SH,600448,滨州市人民政府国有资产监督管理委员会,
SH,600449,中国建材集团有限公司,
SH,600452,国务院国有资产监督管理委员会,
SH,600455,西安经济技术开发区管理委员会,
SH,600456,陕西有色金属控股集团有限责任公司,
SH,600458,中国中车集团有限公司,
SH,600459,云南省人民政府国有资产监督管理委员会,
SH,600460,"陈国华,郑少波,宋卫权,罗华兵,江忠永,范伟宏,陈向东",3.6
SH,600461,南昌市国有资产监督管理委员会,
SH,600462,李明,
SH,600463,北京市顺义区人民政府国有资产监督管理委员会,
SH,600466,杨铿,
SH,600467,唐传勤,
SH,600468,天津市人民政府国有资产监督管理委员会,
SH,600469,国务院国有资产监督管理委员会,
SH,600470,,
SH,600475,无锡市国联发展(集团)有限公司,72.23
SH,600476,中国邮政集团有限公司,
SH,600477,单银木,38.19
SH,600478,钟发平,6.14
SH,600479,株洲市人民政府国有资产监督管理委员会,
SH,600480,中国兵器工业集团有限公司,
SH,600481,缪双大,0.78
SH,600482,国务院国有资产监督管理委员会,
SH,600483,福建省国有资产监督管理委员会,
SH,600486,国务院国有资产监督管理委员会,
SH,600487,崔根良,3.86
SH,600488,,
SH,600489,国务院国有资产监督管理委员会,
SH,600490,姜照柏,6.24
SH,600491,赖振元,22.05
SH,600493,陈澄清,10.72
SH,600495,中国兵器工业集团有限公司,
SH,600496,方朝阳,0.2498
SH,600497,国务院国有资产监督管理委员会,
SH,600498,国务院国有资产监督管理委员会,
SH,600499,,
SH,600500,中国中化控股有限责任公司,
SH,600501,国务院国有资产监督管理委员会,
SH,600502,安徽省人民政府国有资产监督管理委员会,
SH,600503,刘雅娟,
SH,600505,国网四川省电力公司,20.15
SH,600506,中华人民共和国财政部,
SH,600507,方威,
SH,600508,中国中煤能源集团有限公司,
SH,600509,新疆生产建设兵团第八师国有资产监督管理委员会,
SH,600510,常州市新北区人民政府,
SH,600511,中国医药集团有限公司,
SH,600512,叶林富,8.26
SH,600513,扬州市国有资产监督管理委员会,
SH,600515,海南省国有资产监督管理委员会,
SH,600516,方威,0.46
SH,600517,国务院国有资产监督管理委员会,
SH,600518,,
SH,600519,贵州省人民政府国有资产监督管理委员会,
SH,600520,"罗其芳,周文育",
SH,600521,陈保华,24.65
SH,600522,薛济萍,0.0388
SH,600523,中国航空工业集团有限公司,
SH,600525,,
SH,600526,浙江省人民政府国有资产监督管理委员会,
SH,600527,陶国平,22.57
SH,600528,国务院国有资产监督管理委员会,
SH,600529,沂源县财政局,
SH,600530,嵇霖,
SH,600531,济源产城融合示范区国有资产监督管理局,
SH,600532,"俞倪荣,谢雨彤",
SH,600533,南京栖霞国有资产经营有限公司,0.38
SH,600535,"李畇慧,闫希军,闫凯境,吴迺峰",0.0613
SH,600536,中国电子信息产业集团有限公司,6.35
SH,600537,古汉宁,
SH,600538,"彭韬,朱蓉娟",20.55
SH,600539,"吴家辉,吴靓怡",
SH,600540,新疆生产建设兵团第五师国有资产监督管理委员会,
SH,600543,甘肃省人民政府国有资产监督管理委员会,
SH,600545,"潘雪平,江苏金昇实业股份有限公司",45.84
SH,600546,山西省人民政府国有资产监督管理委员会,
SH,600547,山东省人民政府国有资产监督管理委员会,
SH,600548,深圳市人民政府国有资产监督管理委员会,
SH,600549,福建省人民政府国有资产监督管理委员会,
SH,600550,国务院国有资产监督管理委员会,
SH,600551,安徽省人民政府,
SH,600552,中国建材集团有限公司,
SH,600556,"李檬,新浪集团(Sina Corporation)",
SH,600557,肖伟,2.91
SH,600558,自贡市政府国有资产监督管理委员会,
SH,600559,衡水市财政局,
SH,600560,中国钢研科技集团有限公司,1.8
SH,600561,南昌市国有资产监督管理委员会,
SH,600562,中国电子科技集团有限公司,
SH,600563,厦门市法拉发展有限公司,37.33
SH,600565,罗韶宇,
SH,600566,曹龙祥,5.08
SH,600567,"吴明武,徐丽凡",
SH,600568,许德来,
SH,600569,安阳钢铁集团有限责任公司,46.78
SH,600570,马云,
SH,600571,郭华强,3.31
SH,600572,浙江省人民政府国有资产监督管理委员会,
SH,600573,北京控股有限公司,
SH,600575,安徽省人民政府国有资产监督管理委员会,
SH,600576,俞发祥,
SH,600577,李光荣,4.01
SH,600578,北京能源集团有限责任公司,23.88
SH,600579,国务院国资委,
SH,600580,陈建成,1.61
SH,600581,中国宝武钢铁集团有限公司,
SH,600582,国务院国有资产监督管理委员会,
SH,600583,中国海洋石油集团有限公司,48.36
SH,600584,,
SH,600585,安徽省国有资产监督管理委员会,
SH,600586,丁茂良,
SH,600587,山东省人民政府国有资产监督管理委员会,
SH,600588,王文京,
SH,600589,高大鹏,16.76
SH,600590,,
SH,600592,漳州市国有资产监督管理委员会,
SH,600593,大连市人民政府国有资产监督管理委员会,
SH,600594,窦啟玲,23.42
SH,600595,"Vimetco PLC,张志平,张高波",
SH,600596,徐冠巨,
SH,600597,上海市国有资产监督管理委员会,
SH,600598,中华人民共和国农业农村部,
SH,600599,赵伟平,2.19
SH,600600,青岛市人民政府国有资产监督管理委员会,
SH,600601,珠海市人民政府国有资产监督管理委员会,
SH,600602,上海市国有资产监督管理委员会,
SH,600603,孙广信,
SH,600604,上海市静安区国有资产监督管理委员会,
SH,600605,汤玉祥,
SH,600606,,
SH,600608,昆明市人民政府国有资产监督管理委员会,
SH,600609,辽宁省人民政府国有资产监督管理委员会,
SH,600610,信达证券股份有限公司,
SH,600611,上海大众企业管理有限公司,
SH,600612,上海市黄浦区国有资产监督管理委员会,42.09
SH,600613,"文邦英,张芝庭",4.53
SH,600615,涂建华,
SH,600616,上海市国有资产监督管理委员会,
SH,600617,山西省人民政府国有资产监督管理委员会,
SH,600618,上海国有资产监督管理委员会,
SH,600619,上海市国有资产监督管理委员会,
SH,600620,"叶立培,叶茂菁",
SH,600621,上海市国有资产监督管理委员会,
SH,600622,中国光大集团股份公司,
SH,600623,上海市国有资产监督管理委员会,
SH,600624,上海市奉贤区国有资产监督管理委员会,
SH,600626,上海市国有资产监督管理委员会,
SH,600628,上海市黄浦区国有资产监督管理委员会,20.73
SH,600629,上海市国有资产监督管理委员会,
SH,600630,上海市国有资产监督管理委员会,
SH,600633,浙江日报报业集团,
SH,600635,,
SH,600636,国务院国资委,
SH,600637,上海市国有资产监督管理委员会,
SH,600638,北京国际信托有限公司,
SH,600639,上海市浦东新区国有资产监督管理委员会,
SH,600640,国务院国有资产监督管理委员会,
SH,600641,"李勇军,朱旭东,王晴华",
SH,600642,上海市国有资产监督管理委员会,
SH,600643,王均金,
SH,600644,,
SH,600645,"陈春梅,龚虹嘉",
SH,600647,中华人民共和国财政部,
SH,600648,上海市浦东新区国有资产监督管理委员会,
SH,600649,上海市国有资产监督管理委员会,
SH,600650,上海市国有资产监督管理委员会,
SH,600651,上海市国有资产监督管理委员会,
SH,600653,辽宁省人民政府国有资产监督管理委员会,
SH,600654,涂国身,
SH,600655,"郭广昌,上海复星高科技(集团)有限公司",2.09
SH,600657,中华人民共和国财政部,
SH,600658,北京电子控股有限责任公司,45.49
SH,600660,曹德旺,0.0121
SH,600661,,
SH,600662,东浩兰生(集团)有限公司,
SH,600663,上海市浦东新区国有资产监督管理委员会,
SH,600664,,
SH,600665,西安高科集团有限公司,
SH,600666,,
SH,600667,无锡市人民政府国有资产监督管理委员会,
SH,600668,金华市人民政府国有资产监督管理委员会,
SH,600671,,
SH,600673,"郭梅兰,张寓帅",
SH,600674,四川省政府国有资产监督管理委员会,
SH,600675,上海市国有资产监督管理委员会,
SH,600676,上海市国有资产监督管理委员会,
SH,600678,洛阳高新技术产业开发区管理委员会,
SH,600679,上海市金山区国有资产监督管理委员会,22.78
SH,600681,王东海,13.02
SH,600682,袁亚非,
SH,600683,北京市人民政府国有资产监督管理委员会,
SH,600684,广州市人民政府国有资产监督管理委员会,
SH,600685,国务院国有资产监督管理委员会,
SH,600686,福建省人民政府国有资产监督管理委员会,
SH,600688,中国石油化工集团有限公司,
SH,600689,重庆市国有资产监督管理委员会,
SH,600690,海尔集团公司,11.35
SH,600691,山西省人民政府国有资产监督管理委员会,
SH,600692,上海市崇明区国有资产监督管理委员会,32.51
SH,600693,施文义,
SH,600694,牛钢,
SH,600696,韩啸,
SH,600697,长春市人民政府国有资产监督管理委员会,
SH,600698,中国兵器装备集团有限公司,
SH,600699,王剑峰,2.49
SH,600702,郭广昌,
SH,600703,林秀成,
SH,600704,浙江省人民政府国有资产监督管理委员会,
SH,600705,国务院国有资产监督管理委员会,
SH,600706,西安曲江新区管理委员会,
SH,600707,咸阳市国有资产监督管理委员会,
SH,600708,上海市国有资产监督管理委员会,
SH,600710,中国机械工业集团有限公司,41.6
SH,600711,姚雄杰,1.28
SH,600712,南宁市人民政府国有资产监督管理委员会,
SH,600713,南京市人民政府国有资产监督管理委员会,
SH,600714,,
SH,600715,北京市国有文化资产管理中心,
SH,600716,江苏省人民政府,
SH,600717,天津市人民政府国有资产监督管理委员会,
SH,600718,,
SH,600719,大连市人民政府国有资产监督管理委员会,
SH,600720,中国建材集团有限公司,
SH,600721,"米恩华,杨小玲",
SH,600722,河北省国有资产监督管理委员会,
SH,600724,宁波市人民政府国有资产监督管理委员会,
SH,600725,云南省人民政府国有资产监督管理委员会,
SH,600726,中国华电集团有限公司,21.51
SH,600727,无棣县财政局,
SH,600728,刘伟,3.09
SH,600729,,
SH,600730,,
SH,600731,湖南省人民政府国有资产监督管理委员会,
SH,600732,陈刚,17.98
SH,600733,北京市国有资产监督管理委员会,
SH,600734,福建省人民政府国有资产监督管理委员会,
SH,600735,张建华,1.18
SH,600736,苏州市虎丘区人民政府,
SH,600737,国务院国有资产监督管理委员会,
SH,600738,丽水经济技术开发区管理委员会,
SH,600739,辽宁省人民政府国有资产监督管理委员会,
SH,600740,山西省人民政府国有资产监督管理委员会,
SH,600741,上海汽车工业(集团)总公司,
SH,600742,吉林省人民政府国有资产监督管理委员会,
SH,600743,北京市西城区人民政府国有资产监督管理委员会,
SH,600744,国务院国有资产监督管理委员会,
SH,600745,张学政,2.98
SH,600746,镇江市人民政府国有资产监督管理委员会,
SH,600748,上海市国有资产监督管理委员会,
SH,600749,王玉锁,
SH,600750,中国华润有限公司,
SH,600751,,
SH,600753,梁衍锋,
SH,600754,上海市国有资产监督管理委员会,
SH,600755,厦门市人民政府国有资产监督管理委员会,
SH,600756,山东省人民政府国有资产监督管理委员会,
SH,600757,湖北省国有文化资产监督管理与产业发展领导小组办公室,
SH,600758,辽宁省人民政府国有资产监督管理委员会,
SH,600759,许玲,
SH,600760,中国航空工业集团有限公司,66.1
SH,600761,安徽省人民政府国有资产监督管理委员会,
SH,600763,"杭州宝群实业集团有限公司,吕建明",33.75
SH,600764,国务院国有资产监督管理委员会,
SH,600765,中国航空工业集团有限公司,
SH,600766,徐诚东,15
SH,600767,翁松林,
SH,600768,"傅才,宋汉平,黄小明,胡铮辉",
SH,600769,武汉东湖新技术开发区管理委员会,
SH,600770,昝圣达,18.45
SH,600771,山西省人民政府国有资产监督管理委员会,
SH,600773,上海市静安区国有资产监督管理委员会,47.78
SH,600774,阎志,15
SH,600775,中国电子信息产业集团有限公司,
SH,600776,中国电子科技集团有限公司,
SH,600777,,
SH,600778,牛钢,
SH,600779,Diageo plc(帝亚吉欧),
SH,600780,山西省人民政府国有资产监督管理委员会,
SH,600781,朱文臣,
SH,600782,国务院国资委,
SH,600783,山东省人民政府,
SH,600784,山东省人民政府国有资产监督管理委员会,
SH,600785,张文中,
SH,600787,国务院国有资产监督管理委员会,
SH,600789,山东省人民政府国有资产监督管理委员会,
SH,600790,绍兴市柯桥区人民政府,
SH,600791,北京市国资委,
SH,600792,云南省人民政府国有资产监督管理委员会,
SH,600793,宜宾市国有资产监督管理委员会,
SH,600794,江苏省张家港保税区管理委员会,
SH,600795,国务院国有资产监督管理委员会,
SH,600796,海宁市人民政府国有资产监督管理办公室,
SH,600797,,
SH,600798,浙江省人民政府国有资产监督管理委员会,
SH,600800,天津市人民政府国有资产监督管理委员会,
SH,600801,Holcim Ltd,
SH,600802,福建省能源石化集团有限责任公司,
SH,600803,王玉锁,0.07
SH,600804,杨学平,0.8
SH,600805,盐城市人民政府,
SH,600807,济南高新技术产业开发区管理委员会,
SH,600808,国务院国有资产监督管理委员会,
SH,600809,山西省国有资产监督管理委员会,
SH,600810,河南省人民政府国有资产监督管理委员会,
SH,600811,张宏伟,0.31
SH,600812,河北省人民政府国有资产监督管理委员会,
SH,600814,杭州市人民政府(国有资产监督管理委员会),
SH,600815,厦门市人民政府国有资产监督管理委员会,
SH,600816,,
SH,600817,汤玉祥,
SH,600818,陈荣,
SH,600819,上海地产(集团)有限公司,
SH,600820,上海市国有资产监督管理委员会,
SH,600821,天津市人民政府国有资产监督管理委员会,
SH,600822,上海市国有资产监督管理委员会,
SH,600823,许荣茂,
SH,600824,上海市黄浦区国有资产监督管理委员会,
SH,600825,上海市国有资产监督管理委员会,
SH,600826,上海市国有资产监督管理委员会,
SH,600827,上海市国有资产监督管理委员会,
SH,600828,黄茂如,
SH,600829,,
SH,600830,中国烟草总公司,
SH,600831,中共陕西省委宣传部,
SH,600833,上海市国有资产监督管理委员会,
SH,600834,上海市国有资产监督管理委员会,
SH,600835,上海电气控股集团有限公司,
SH,600836,方丽梅,
SH,600837,,
SH,600838,上海静安区国有资产监督管理委员会,
SH,600839,绵阳市国有资产监督管理委员会,
SH,600841,上海汽车工业(集团)有限公司,
SH,600843,,
SH,600844,丹阳市人民政府国有资产监督管理办公室,
SH,600845,中国宝武钢铁集团有限公司,
SH,600846,上海市杨浦区国有资产监督管理委员会,
SH,600847,莫天全,
SH,600848,上海临港经济发展(集团)有限公司,
SH,600850,中国电子科技集团有限公司,
SH,600851,,
SH,600853,黑龙江省人民政府国有资产监督管理委员会,
SH,600854,春兰(集团)公司,25.34
SH,600855,中国航天科工集团有限公司,0.61
SH,600857,徐柏良,
SH,600858,山东省人民政府国有资产监督管理委员会,
SH,600859,北京市人民政府国有资产监督管理委员会,
SH,600860,北京京城机电控股有限责任公司,45.32
SH,600861,北京市人民政府国有资产监督管理委员会,
